Fuel_Level_Percentage,Vehicle_Load_kg,Speed_kmph,Temperature_C,Route_Type,distance
40.58,1434.1,63.8,34.1,Urban,121.36
95.32,1332.3,31.1,28.8,Urban,166.62
74.54,940.4,40.8,43.9,Urban,164.08
61.87,2018.2,59.8,21.6,Urban,124.35
19.82,1691.6,48.9,32.6,Urban,58.36
19.82,2664.3,64.3,36,Urban,8.34
10.52,580.3,77.7,39.8,Urban,53.59
87.29,2109.7,27,27.2,Urban,71.89
,2407.4,62.6,35.6,Highway,143.37
72.27,2398.7,33.8,24.1,Urban,55.31
6.96,2715.2,44.9,28.1,Rural,7.43
97.14,2322.6,22,41.9,Highway,90.62
84.08,2819.5,28.2,43.5,Highway,65.38
25.17,1331.6,39.2,36.6,Rural,77.8
22.27,1758,40.5,26.2,Urban,41.58
22.42,535.2,74,39.6,Urban,100.59
33.9,517.4,64.5,15.8,Urban,158.43
54.85,1100.3,78.3,18.1,Urban,233.73
46.03,752,55.9,34.8,Urban,143.49
32.67,1150.5,34.5,23.7,Rural,96.51
63.13,942.6,39.7,43.5,Urban,143.83
18.25,571.3,39.2,28.1,Rural,59.46
32.75,2773.3,39.6,27.9,Highway,57.74
39.8,520.6,60.4,35.3,Highway,273.52
48.33,2340.2,51.8,38,Urban,67.49
79.59,880.4,43.1,29.3,Highway,353.15
23.97,2780.6,28.9,21.4,Urban,22.18
53.85,2732,21.3,38.2,Urban,3.87
61.28,2134.8,33.1,,Rural,88.54
9.41,2180.6,26.4,20.3,Urban,0.48
62.72,513.3,67.1,33.9,Urban,273.18
21.2,2962.2,26.7,17.7,Rural,18.04
11.18,2694.6,63.5,44.1,Urban,14.98
95.14,2737.8,43.1,34,Highway,126.55
96.74,2148.1,24.4,44.6,Highway,104.12
81.8,1362,68.8,25.2,Urban,310.06
33.94,2734.1,54.8,44.1,Rural,39.19
,1228.8,34.1,19.4,Rural,30.08
70,1906.8,73.7,16.2,Urban,181.01
46.81,749.3,22.7,16,Urban,46.67
16.59,2804.9,32.1,28.9,Highway,26.47
52.04,851.9,65.1,17.5,Highway,356.28
8.27,1062.2,62.6,30.4,Highway,79.02
91.39,1895.3,37.4,24.8,Urban,133.5
29.58,2410.2,23.7,25.1,Urban,12.41
67.94,2048.4,71.5,34.1,Rural,196.64
34.61,1080.3,38.8,19.9,Urban,86.69
54.41,502.4,,38,Highway,194.72
56.94,2392.9,51,32.5,Rural,114.65
22.56,2963,74.6,42.4,Urban,9.5
97.11,2524.8,22.6,25.9,Highway,95.54
78.64,1650.5,65.9,44.5,Urban,187.67
94.25,2759.4,54.3,32.3,Rural,130.56
90.01,1524.6,45.5,44.2,Urban,168.78
,1812.3,64.6,15.8,Urban,137.39
92.58,1692.8,77.9,36.8,Highway,477.67
13.41,1619.1,33.8,39.5,Highway,10.89
23.62,2438,28.6,16.6,Urban,4.8
9.3,1816.9,74.8,32.4,Urban,16.08
35.91,1291.8,60.1,39.1,Urban,95.93
41.92,1145.4,46.3,31.8,Urban,103.85
30.78,594.4,54.4,16.9,Highway,187.94
83.73,1958,64.7,35.8,Urban,187.43
38.89,1074.9,66.4,16.8,Highway,239.3
31.69,870.3,75.2,39.5,Rural,181.93
56.56,2134.6,45.6,16.3,Rural,94.67
18.39,2203,37.6,19.1,Highway,35.89
81.21,2380.4,58.4,,Urban,144.84
12.08,1758.9,,,Urban,19.83
98.75,2735.1,55.7,44.3,Rural,118.12
,2840.9,45.2,18.5,Rural,76.77
23.88,2518.4,29.2,19.3,Urban,24.76
5.52,2089,48.2,26.1,Rural,15.25
82.47,1259.3,61.5,40.1,Rural,330.07
72.15,2957.4,68,29,Rural,90.26
74.26,1185.3,49.6,24.6,Highway,360.39
78.27,1006.6,29.9,31.8,Rural,185.7
12.03,1605.4,44.9,22.8,Rural,23.29
